用户编号,缴费金额（元）,缴费次数,客户类型
1000000001,123.375,8,高价值型客户
1000000002,70.0,7,大众型客户
1000000003,168.57142857142858,7,高价值型客户
1000000004,77.625,8,大众型客户
1000000005,214.28571428571428,7,高价值型客户
1000000006,144.28571428571428,7,高价值型客户
1000000007,158.0,7,高价值型客户
1000000008,153.42857142857142,7,高价值型客户
1000000009,138.57142857142858,7,高价值型客户
1000000010,96.625,8,大众型客户
1000000011,106.85714285714286,7,高价值型客户
1000000012,130.14285714285714,7,高价值型客户
1000000013,119.28571428571429,7,高价值型客户
1000000014,107.0,7,高价值型客户
1000000015,100.0,7,大众型客户
1000000016,98.0,8,大众型客户
1000000017,111.42857142857143,7,高价值型客户
1000000018,91.57142857142857,7,大众型客户
1000000019,121.5,6,潜力型客户
1000000020,128.42857142857142,7,高价值型客户
1000000021,108.14285714285714,7,高价值型客户
1000000022,89.0,6,低价值型客户
1000000023,98.6,5,低价值型客户
1000000024,129.14285714285714,7,高价值型客户
1000000025,93.0,7,大众型客户
1000000026,111.0,7,高价值型客户
1000000027,90.14285714285714,7,大众型客户
1000000028,95.16666666666667,6,低价值型客户
1000000029,98.71428571428571,7,大众型客户
1000000030,95.85714285714286,7,大众型客户
1000000031,93.57142857142857,7,大众型客户
1000000032,86.5,6,低价值型客户
1000000033,90.83333333333333,6,低价值型客户
1000000034,103.0,7,大众型客户
1000000035,109.85714285714286,7,高价值型客户
1000000036,107.5,6,潜力型客户
1000000037,89.57142857142857,7,大众型客户
1000000038,89.0,6,低价值型客户
1000000039,107.14285714285714,7,高价值型客户
1000000040,93.71428571428571,7,大众型客户
1000000041,113.83333333333333,6,潜力型客户
1000000042,87.42857142857143,7,大众型客户
1000000043,91.42857142857143,7,大众型客户
1000000044,100.16666666666667,6,低价值型客户
1000000045,101.57142857142857,7,大众型客户
1000000046,118.5,6,潜力型客户
1000000047,93.42857142857143,7,大众型客户
1000000048,113.0,6,潜力型客户
1000000049,84.14285714285714,7,大众型客户
1000000050,81.14285714285714,7,大众型客户
1000000051,99.5,6,低价值型客户
1000000052,109.42857142857143,7,高价值型客户
1000000053,99.14285714285714,7,大众型客户
1000000054,76.5,6,低价值型客户
1000000055,112.57142857142857,7,高价值型客户
1000000056,102.0,7,大众型客户
1000000057,101.57142857142857,7,大众型客户
1000000058,97.85714285714286,7,大众型客户
1000000059,92.5,8,大众型客户
1000000060,104.28571428571429,7,大众型客户
1000000061,97.57142857142857,7,大众型客户
1000000062,110.42857142857143,7,高价值型客户
1000000063,89.71428571428571,7,大众型客户
1000000064,86.66666666666667,6,低价值型客户
1000000065,104.85714285714286,7,大众型客户
1000000066,116.5,6,潜力型客户
1000000067,98.42857142857143,7,大众型客户
1000000068,101.57142857142857,7,大众型客户
1000000069,91.33333333333333,6,低价值型客户
1000000070,83.375,8,大众型客户
1000000071,106.0,7,大众型客户
1000000072,114.0,7,高价值型客户
1000000073,101.0,4,低价值型客户
1000000074,90.85714285714286,7,大众型客户
1000000075,89.85714285714286,7,大众型客户
1000000076,103.57142857142857,7,大众型客户
1000000077,102.85714285714286,7,大众型客户
1000000078,118.4,5,潜力型客户
1000000079,99.5,6,低价值型客户
1000000080,86.14285714285714,7,大众型客户
1000000081,97.14285714285714,7,大众型客户
1000000082,101.6,5,低价值型客户
1000000083,106.85714285714286,7,高价值型客户
1000000084,184.14285714285714,7,高价值型客户
1000000085,81.28571428571429,7,大众型客户
1000000086,81.25,4,低价值型客户
1000000087,93.0,7,大众型客户
1000000088,76.85714285714286,7,大众型客户
1000000089,77.6,5,低价值型客户
1000000090,102.0,6,低价值型客户
1000000091,108.71428571428571,7,高价值型客户
1000000092,84.66666666666667,3,低价值型客户
1000000093,92.6,5,低价值型客户
1000000094,104.33333333333333,6,低价值型客户
1000000095,142.71428571428572,7,高价值型客户
1000000096,130.85714285714286,7,高价值型客户
1000000097,108.16666666666667,6,潜力型客户
1000000098,122.5,6,潜力型客户
1000000099,142.16666666666666,6,潜力型客户
1000000100,134.71428571428572,7,高价值型客户
